Date,Open,High,Low,Close,Volume
6-Mar-13,23.14,23.74,23.04,23.52,388945
5-Mar-13,22.16,23.65,22.14,22.98,411446
4-Mar-13,22.45,22.45,20.94,22.10,310952
1-Mar-13,20.85,22.49,20.81,22.45,378556
28-Feb-13,21.93,22.22,20.59,20.98,340948
27-Feb-13,20.58,21.76,20.55,21.51,171197
26-Feb-13,20.75,20.91,20.33,20.63,50308
25-Feb-13,21.06,21.06,20.61,20.62,95037
22-Feb-13,20.90,21.18,20.73,21.06,101963
21-Feb-13,20.76,21.00,20.70,20.85,88310
20-Feb-13,20.99,21.10,20.65,20.80,74045
19-Feb-13,21.13,21.13,20.70,20.94,69301
15-Feb-13,20.47,21.05,20.39,21.05,144718
14-Feb-13,20.34,20.60,20.12,20.52,105922
13-Feb-13,20.24,20.42,20.08,20.30,50924
12-Feb-13,19.91,20.30,19.62,20.30,113839
11-Feb-13,21.50,21.50,19.86,19.93,155069
8-Feb-13,21.60,21.75,21.36,21.49,172218
7-Feb-13,21.55,21.59,21.13,21.52,39515
6-Feb-13,21.68,21.86,21.31,21.47,84869
5-Feb-13,21.72,21.91,21.67,21.79,63727
4-Feb-13,21.82,22.20,21.11,21.60,358440
1-Feb-13,20.71,21.90,20.71,21.83,291597
31-Jan-13,20.99,20.99,20.61,20.72,105661
30-Jan-13,20.99,21.05,20.85,20.97,145839
29-Jan-13,21.01,21.09,20.86,20.95,109638
28-Jan-13,20.97,21.10,20.66,20.98,123349
25-Jan-13,20.93,21.06,20.74,20.92,99701
24-Jan-13,20.56,21.05,20.47,20.90,248221
23-Jan-13,20.46,20.54,20.17,20.41,66088
22-Jan-13,20.27,20.44,19.98,20.37,222287
18-Jan-13,20.30,20.38,20.15,20.26,72117
17-Jan-13,20.37,20.37,19.94,20.18,57301
16-Jan-13,20.12,20.30,20.02,20.22,75366
15-Jan-13,19.96,20.25,19.88,20.22,52194
14-Jan-13,20.07,20.14,19.77,20.12,108343
11-Jan-13,19.70,20.30,19.60,20.19,305337
10-Jan-13,19.59,19.93,19.41,19.79,132317
9-Jan-13,19.32,19.80,19.27,19.60,73270
8-Jan-13,18.92,19.16,18.83,19.16,37489
7-Jan-13,19.09,19.09,18.65,19.02,66957
4-Jan-13,19.04,19.58,18.94,19.19,125740
3-Jan-13,19.00,19.09,18.77,18.99,168844
2-Jan-13,18.52,19.07,18.44,18.98,203681
31-Dec-12,19.00,19.11,18.10,18.10,143066
28-Dec-12,18.87,19.27,18.62,18.94,93128
27-Dec-12,19.25,19.25,18.51,18.93,140175
26-Dec-12,19.87,19.93,19.04,19.31,98354
24-Dec-12,19.77,19.86,19.46,19.84,44891
21-Dec-12,19.84,20.06,19.28,19.82,251152
20-Dec-12,20.14,20.14,19.80,19.95,141910
19-Dec-12,20.76,20.84,20.09,20.09,163545
18-Dec-12,20.79,20.99,20.65,20.70,398096
17-Dec-12,20.72,20.83,20.30,20.80,185914
14-Dec-12,20.16,20.80,20.00,20.70,519113
13-Dec-12,20.50,20.52,20.24,20.28,63169
12-Dec-12,20.53,20.75,20.33,20.45,125111
11-Dec-12,20.34,20.74,20.29,20.43,138756
10-Dec-12,20.62,20.70,20.13,20.38,240031
7-Dec-12,20.74,20.83,20.36,20.70,192821
6-Dec-12,20.16,20.83,20.06,20.74,109926
5-Dec-12,20.77,20.79,20.53,20.60,67743
4-Dec-12,20.49,20.87,20.49,20.71,99465
3-Dec-12,20.57,20.84,20.08,20.72,157148
30-Nov-12,20.60,20.76,20.20,20.57,809155
29-Nov-12,20.14,20.95,20.14,20.50,182922
28-Nov-12,19.89,20.20,19.77,20.11,139288
27-Nov-12,20.01,20.18,19.87,19.92,204939
26-Nov-12,19.98,20.05,19.62,20.01,210464
23-Nov-12,20.00,20.02,19.87,20.00,56069
21-Nov-12,19.84,20.08,19.65,19.99,198304
20-Nov-12,20.01,20.12,19.59,19.86,167202
19-Nov-12,19.50,20.30,19.23,20.08,467198
16-Nov-12,19.41,19.50,19.08,19.46,81179
15-Nov-12,19.49,19.83,18.91,19.43,164684
14-Nov-12,19.88,19.97,19.29,19.46,145779
13-Nov-12,19.65,19.88,18.30,19.87,224929
12-Nov-12,19.40,19.78,18.83,19.65,477154
9-Nov-12,19.01,19.48,18.51,19.45,565651
8-Nov-12,17.95,18.13,17.70,17.79,159936
7-Nov-12,18.35,18.36,17.79,18.00,67747
6-Nov-12,18.19,18.67,18.01,18.49,81636
5-Nov-12,17.85,18.29,17.72,18.12,170952
2-Nov-12,18.09,18.12,17.71,17.80,115207
1-Nov-12,18.02,18.20,17.76,18.00,96775
31-Oct-12,17.99,18.09,17.72,17.98,32545
26-Oct-12,17.84,18.07,17.75,17.96,24806
25-Oct-12,17.90,17.94,17.65,17.81,43645
24-Oct-12,17.82,17.82,17.63,17.82,18113
23-Oct-12,17.49,17.81,17.39,17.76,57317
22-Oct-12,17.51,17.75,17.50,17.64,76862
19-Oct-12,17.86,17.86,17.32,17.61,59763
18-Oct-12,18.25,18.25,17.70,17.93,68089
17-Oct-12,18.79,19.01,17.94,18.15,98056
16-Oct-12,19.05,19.11,18.70,18.81,74569
15-Oct-12,19.31,19.50,18.84,19.02,70099
12-Oct-12,19.46,19.50,19.18,19.31,13142
11-Oct-12,19.55,19.63,19.27,19.49,41967
10-Oct-12,19.56,19.61,19.32,19.47,64275
9-Oct-12,19.42,19.58,19.24,19.50,125771
8-Oct-12,19.31,19.42,18.90,19.40,165784
5-Oct-12,19.12,19.58,19.03,19.31,50647
4-Oct-12,19.12,19.25,18.77,19.05,122432
3-Oct-12,18.98,19.08,18.64,19.00,167593
2-Oct-12,18.65,18.95,18.44,18.93,81828
1-Oct-12,18.95,19.00,18.20,18.61,174495
28-Sep-12,18.54,19.05,18.53,18.94,158818
27-Sep-12,18.48,18.94,18.40,18.64,190371
26-Sep-12,18.65,18.76,18.29,18.48,172852
25-Sep-12,19.00,19.64,18.70,18.85,559526
24-Sep-12,18.67,18.98,18.64,18.87,173874
21-Sep-12,19.12,19.24,18.80,18.92,228504
20-Sep-12,18.72,18.99,18.48,18.90,113039
19-Sep-12,18.74,19.12,18.59,18.89,158321
18-Sep-12,18.83,18.94,17.95,18.67,185081
17-Sep-12,18.97,18.97,18.56,18.75,98682
14-Sep-12,17.88,19.03,17.86,18.95,515164
13-Sep-12,17.76,17.97,17.49,17.90,163643
12-Sep-12,17.50,17.94,17.48,17.91,217043
11-Sep-12,17.60,17.60,17.27,17.51,152548
10-Sep-12,17.50,17.69,17.42,17.56,97481
7-Sep-12,17.70,17.70,17.50,17.57,67741
6-Sep-12,17.74,17.76,17.48,17.61,84287
5-Sep-12,17.70,17.73,17.49,17.60,55246
4-Sep-12,17.50,17.83,17.33,17.78,79622
31-Aug-12,17.95,17.95,17.44,17.50,106684
30-Aug-12,17.93,18.12,17.80,17.88,150985
29-Aug-12,17.90,18.13,17.80,17.97,1530888
28-Aug-12,17.99,18.46,17.67,17.97,1515587
27-Aug-12,18.10,18.10,17.67,17.99,104097
24-Aug-12,17.95,18.79,17.45,18.01,271425
23-Aug-12,17.73,18.00,17.29,17.97,269708
22-Aug-12,16.85,17.80,16.85,17.71,187550
21-Aug-12,16.27,17.56,16.04,16.86,328050
20-Aug-12,17.40,17.41,16.51,16.62,487198
17-Aug-12,17.48,17.76,17.42,17.50,157911
16-Aug-12,17.86,17.93,17.05,17.51,158442
15-Aug-12,17.50,17.88,17.48,17.81,130379
14-Aug-12,17.68,17.71,17.13,17.48,206249
13-Aug-12,17.54,17.74,17.34,17.69,193348
10-Aug-12,16.70,18.50,16.70,17.59,96737
9-Aug-12,16.74,16.97,16.09,16.74,122858
8-Aug-12,16.78,17.10,16.60,16.85,18117
7-Aug-12,16.65,17.27,16.44,16.82,102888
6-Aug-12,16.11,16.91,16.01,16.62,40936
3-Aug-12,15.99,16.55,15.44,16.00,88262
2-Aug-12,15.56,16.40,15.32,15.70,66627
1-Aug-12,16.10,16.10,15.68,15.80,23475
31-Jul-12,16.07,16.08,15.58,16.04,86386
30-Jul-12,15.25,16.37,15.18,16.17,130089
27-Jul-12,14.54,15.68,14.54,15.32,121395
26-Jul-12,14.32,14.50,13.95,14.47,63701
25-Jul-12,14.26,14.37,14.10,14.12,18715
24-Jul-12,14.86,14.86,14.10,14.12,50796
23-Jul-12,14.90,14.92,14.20,14.75,45460
20-Jul-12,15.47,15.47,15.05,15.26,17603
19-Jul-12,15.89,15.89,15.54,15.63,14510
18-Jul-12,15.58,16.10,15.58,15.88,18336
17-Jul-12,16.08,16.08,15.56,15.78,33405
16-Jul-12,15.31,16.22,15.27,16.17,35760
13-Jul-12,14.47,15.59,14.47,15.41,67336
12-Jul-12,15.08,15.08,13.94,14.40,157851
11-Jul-12,15.47,15.62,15.08,15.24,23593
10-Jul-12,15.71,16.06,15.41,15.45,28207
9-Jul-12,16.16,16.16,15.43,15.69,19041
6-Jul-12,16.86,16.86,15.96,16.12,11509
5-Jul-12,17.02,17.14,16.93,16.99,51625
3-Jul-12,17.26,17.29,16.94,17.06,10062
2-Jul-12,16.99,17.38,16.94,17.20,64695
29-Jun-12,17.02,17.14,16.73,16.99,76711
28-Jun-12,16.94,16.96,16.36,16.60,41684
27-Jun-12,17.01,17.15,16.85,17.00,107975
26-Jun-12,17.36,17.50,16.65,16.93,47716
25-Jun-12,17.80,17.85,17.27,17.37,44838
22-Jun-12,17.98,18.26,17.80,17.99,171295
21-Jun-12,18.13,18.27,17.79,17.87,67950
20-Jun-12,17.60,17.89,17.38,17.88,139480
19-Jun-12,17.76,17.76,17.55,17.56,40719
18-Jun-12,17.67,17.95,17.61,17.62,34938
15-Jun-12,17.84,17.86,17.57,17.61,76004
14-Jun-12,17.88,18.06,17.74,17.79,40619
13-Jun-12,17.41,18.14,17.20,17.97,82417
12-Jun-12,16.94,17.44,16.80,17.37,50396
11-Jun-12,16.89,17.42,16.83,16.88,61264
8-Jun-12,16.44,16.86,16.21,16.78,11687
7-Jun-12,16.88,16.88,16.38,16.51,34983
6-Jun-12,16.86,17.43,16.59,16.60,433174
5-Jun-12,16.37,16.98,16.32,16.75,155449
4-Jun-12,16.59,16.59,16.28,16.42,33494
1-Jun-12,17.16,17.16,16.38,16.52,75411
31-May-12,17.28,17.58,17.23,17.50,100036
30-May-12,16.97,17.33,16.89,17.30,78704
29-May-12,17.13,17.23,17.00,17.20,168086
25-May-12,16.93,17.16,16.77,16.99,112527
24-May-12,16.65,16.98,16.25,16.95,97853
23-May-12,15.58,16.67,15.57,16.60,168314
22-May-12,15.64,15.80,15.14,15.69,191948
21-May-12,15.06,16.27,14.72,15.67,174430
18-May-12,15.20,15.75,14.84,14.97,177193
17-May-12,15.72,15.74,15.05,15.06,105075
16-May-12,15.87,16.64,15.60,15.65,239714
15-May-12,15.96,15.96,14.93,15.31,208812
14-May-12,17.13,17.15,15.50,16.02,175702
11-May-12,17.49,17.72,17.13,17.36,35673
10-May-12,17.93,17.93,17.43,17.62,146768
9-May-12,17.92,18.00,17.28,17.75,167488
8-May-12,19.88,19.88,17.60,18.08,351200
7-May-12,20.38,20.86,20.00,20.12,202664
4-May-12,20.98,20.98,20.10,20.46,113895
3-May-12,21.76,21.76,20.64,21.05,170881
2-May-12,20.66,22.10,20.40,21.90,239454
1-May-12,20.61,21.18,20.35,20.73,97745
30-Apr-12,20.01,21.23,19.93,20.64,188576
27-Apr-12,20.10,20.82,19.85,20.09,162190
26-Apr-12,19.88,20.24,19.76,20.05,124620
25-Apr-12,20.00,20.18,19.38,19.84,76644
24-Apr-12,20.24,21.27,19.38,19.78,194230
23-Apr-12,19.63,20.60,19.08,20.17,135896
20-Apr-12,20.56,20.92,20.01,20.04,107454
19-Apr-12,20.25,20.70,19.77,20.39,78131
18-Apr-12,20.14,21.11,19.80,20.18,138778
17-Apr-12,21.28,21.28,19.97,20.26,134976
16-Apr-12,22.87,23.21,20.91,21.20,146340
13-Apr-12,23.12,23.12,22.45,22.65,99931
12-Apr-12,22.67,23.53,22.35,23.25,93465
11-Apr-12,21.93,23.61,21.78,22.59,199796
10-Apr-12,21.14,22.07,21.06,21.80,204487
9-Apr-12,20.58,21.43,19.76,21.27,96916
5-Apr-12,21.03,21.40,20.61,20.96,102004
4-Apr-12,21.79,21.86,20.56,21.15,193358
3-Apr-12,21.52,22.23,21.11,22.20,212177
2-Apr-12,20.39,21.99,20.39,21.71,440439
30-Mar-12,20.29,20.70,19.75,20.52,408490
29-Mar-12,19.73,20.80,19.00,20.10,544893
28-Mar-12,21.00,21.05,18.99,20.00,851067
27-Mar-12,17.75,21.25,17.58,21.11,1373143
26-Mar-12,17.31,17.38,16.75,16.98,144101
23-Mar-12,16.56,17.35,16.56,17.10,227588
22-Mar-12,17.18,17.32,16.44,16.60,99640
21-Mar-12,17.50,17.75,17.24,17.38,210993
20-Mar-12,17.44,17.50,16.90,17.41,96768
19-Mar-12,17.12,17.92,16.90,17.41,297709
16-Mar-12,16.91,17.26,16.20,16.80,326022
15-Mar-12,16.18,17.13,16.18,17.00,228738
14-Mar-12,15.67,16.35,15.67,16.20,160283
13-Mar-12,15.14,16.48,15.07,15.78,316517
12-Mar-12,14.95,15.40,14.95,15.14,91217
9-Mar-12,15.18,15.59,15.08,15.32,166176
8-Mar-12,14.54,15.53,14.45,15.23,120590
7-Mar-12,15.04,15.34,15.04,15.23,110004
6-Mar-12,14.98,15.27,14.84,15.00,130512
5-Mar-12,15.07,15.15,14.78,15.09,184818
2-Mar-12,15.07,15.70,14.97,15.14,237640
1-Mar-12,14.15,15.35,14.10,15.00,610075
29-Feb-12,13.88,14.15,13.85,14.13,68094
28-Feb-12,13.75,13.84,13.75,13.83,68021
27-Feb-12,13.65,13.84,13.63,13.66,235225
24-Feb-12,13.93,13.93,13.55,13.71,119906
23-Feb-12,13.97,14.00,13.84,13.94,82439
22-Feb-12,13.99,14.22,13.75,13.96,274843
21-Feb-12,13.61,14.34,13.56,13.71,248631
17-Feb-12,13.61,13.99,13.50,13.58,142812
16-Feb-12,13.40,13.70,13.40,13.54,71242
15-Feb-12,13.50,14.07,13.30,13.40,175037
14-Feb-12,13.60,13.79,13.30,13.44,122157
13-Feb-12,13.91,14.42,13.63,13.65,175907
10-Feb-12,14.00,14.03,13.77,13.96,336271
9-Feb-12,14.17,14.22,13.75,13.91,580536
8-Feb-12,13.75,15.05,13.25,14.00,3336243
